start,hr,temp,day,ID,label,date,shift_code,start_datetime,end_datetime
2025-03-06 12:00:00+01:00,108.0,37.088,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 12:10:00+01:00,50.0,37.063,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 12:20:00+01:00,85.0,37.072,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 12:30:00+01:00,120.0,37.106,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 12:40:00+01:00,76.0,37.062,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 12:50:00+01:00,73.0,37.311,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 13:00:00+01:00,103.0,40.165,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 13:10:00+01:00,85.0,40.165,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 13:20:00+01:00,103.0,39.875,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 13:30:00+01:00,118.0,38.369,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 13:40:00+01:00,99.0,37.843,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 13:50:00+01:00,90.0,37.543,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 14:00:00+01:00,97.0,37.325,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 14:10:00+01:00,100.0,37.122,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 14:20:00+01:00,108.0,37.008,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 14:30:00+01:00,81.0,37.001,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 14:40:00+01:00,96.0,36.987,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 14:50:00+01:00,107.0,36.972,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 15:00:00+01:00,98.0,37.266,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 15:10:00+01:00,97.0,37.217,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 15:20:00+01:00,89.0,37.141,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 15:30:00+01:00,87.0,37.135,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 15:40:00+01:00,104.0,37.178,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 15:50:00+01:00,89.0,37.138,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-07 09:00:00+01:00,99.0,37.193,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 09:10:00+01:00,89.0,37.191,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 09:20:00+01:00,106.0,37.109,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 09:30:00+01:00,99.0,37.07,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 09:40:00+01:00,111.0,37.073,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 09:50:00+01:00,81.0,37.094,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
